year,style,format,distinct_releases
1985,Ambient,CD,198
1985,Ambient,Vinyl,784
1985,House,Vinyl,143
1985,Techno,CD,1
1985,Techno,Vinyl,31
1986,Ambient,CD,318
1986,Ambient,Vinyl,936
1986,House,CD,10
1986,House,Vinyl,870
1986,Techno,CD,2
1986,Techno,Vinyl,48
1987,Ambient,CD,443
1987,Ambient,Vinyl,825
1987,House,CD,97
1987,House,Vinyl,2446
1987,Techno,CD,9
1987,Techno,Vinyl,104
1988,Ambient,CD,607
1988,Ambient,Vinyl,736
1988,House,CD,579
1988,House,Vinyl,4897
1988,Techno,CD,52
1988,Techno,Vinyl,316
1989,Ambient,CD,774
1989,Ambient,Vinyl,521
1989,House,CD,1395
1989,House,Vinyl,7265
1989,Techno,CD,130
1989,Techno,Vinyl,783
1990,Ambient,CD,922
1990,Ambient,Vinyl,626
1990,House,CD,2148
1990,House,Vinyl,8691
1990,Techno,CD,412
1990,Techno,Vinyl,2168
1991,Ambient,CD,1192
1991,Ambient,Vinyl,616
1991,House,CD,2902
1991,House,Vinyl,8583
1991,Techno,CD,1112
1991,Techno,Vinyl,4945
1992,Ambient,CD,1351
1992,Ambient,Vinyl,480
1992,House,CD,3384
1992,House,Vinyl,8619
1992,Techno,CD,2285
1992,Techno,Vinyl,6510
1993,Ambient,CD,1713
1993,Ambient,File,2
1993,Ambient,Vinyl,666
1993,House,CD,4122
1993,House,File,1
1993,House,Vinyl,8635
1993,Techno,CD,2236
1993,Techno,File,5
1993,Techno,Vinyl,4829
1994,Ambient,CD,2501
1994,Ambient,File,3
1994,Ambient,Vinyl,849
1994,House,CD,4967
1994,House,File,6
1994,House,Vinyl,8996
1994,Techno,CD,2320
1994,Techno,File,6
1994,Techno,Vinyl,4303
1995,Ambient,CD,2939
1995,Ambient,File,7
1995,Ambient,Vinyl,711
1995,House,CD,6411
1995,House,File,8
1995,House,Vinyl,10228
1995,Techno,CD,2719
1995,Techno,File,5
1995,Techno,Vinyl,5169
1996,Ambient,CD,2907
1996,Ambient,File,3
1996,Ambient,Vinyl,702
1996,House,CD,8050
1996,House,File,9
1996,House,Vinyl,11121
1996,Techno,CD,3029
1996,Techno,File,11
1996,Techno,Vinyl,5753
1997,Ambient,CD,3139
1997,Ambient,File,4
1997,Ambient,Vinyl,537
1997,House,CD,8408
1997,House,File,24
1997,House,Vinyl,10354
1997,Techno,CD,3254
1997,Techno,File,12
1997,Techno,Vinyl,5132
1998,Ambient,CD,2803
1998,Ambient,File,23
1998,Ambient,Vinyl,454
1998,House,CD,8146
1998,House,File,22
1998,House,Vinyl,9469
1998,Techno,CD,2537
1998,Techno,File,23
1998,Techno,Vinyl,4525
1999,Ambient,CD,3074
1999,Ambient,File,77
1999,Ambient,Vinyl,464
1999,House,CD,8187
1999,House,File,48
1999,House,Vinyl,9436
1999,Techno,CD,2482
1999,Techno,File,57
1999,Techno,Vinyl,4632
2000,Ambient,CD,3138
2000,Ambient,File,168
2000,Ambient,Vinyl,544
2000,House,CD,8438
2000,House,File,173
2000,House,Vinyl,9806
2000,Techno,CD,2560
2000,Techno,File,143
2000,Techno,Vinyl,4941
2001,Ambient,CD,3417
2001,Ambient,File,260
2001,Ambient,Vinyl,584
2001,House,CD,8234
2001,House,File,236
2001,House,Vinyl,10542
2001,Techno,CD,2532
2001,Techno,File,156
2001,Techno,Vinyl,5670
2002,Ambient,CD,3385
2002,Ambient,File,440
2002,Ambient,Vinyl,534
2002,House,CD,7549
2002,House,File,281
2002,House,Vinyl,10435
2002,Techno,CD,2402
2002,Techno,File,207
2002,Techno,Vinyl,5046
2003,Ambient,CD,3275
2003,Ambient,File,637
2003,Ambient,Vinyl,446
2003,House,CD,7241
2003,House,File,467
2003,House,Vinyl,10573
2003,Techno,CD,2023
2003,Techno,File,345
2003,Techno,Vinyl,4887
2004,Ambient,CD,3270
2004,Ambient,File,1091
2004,Ambient,Vinyl,437
2004,House,CD,6220
2004,House,File,738
2004,House,Vinyl,9581
2004,Techno,CD,1735
2004,Techno,File,604
2004,Techno,Vinyl,4944
2005,Ambient,CD,3299
2005,Ambient,File,1426
2005,Ambient,Vinyl,367
2005,House,CD,6848
2005,House,File,1241
2005,House,Vinyl,9521
2005,Techno,CD,1763
2005,Techno,File,998
2005,Techno,Vinyl,4734
2006,Ambient,CD,3204
2006,Ambient,File,2094
2006,Ambient,Vinyl,376
2006,House,CD,6803
2006,House,File,2554
2006,House,Vinyl,8418
2006,Techno,CD,1863
2006,Techno,File,2393
2006,Techno,Vinyl,4668
2007,Ambient,CD,3001
2007,Ambient,File,2716
2007,Ambient,Vinyl,420
2007,House,CD,6435
2007,House,File,4231
2007,House,Vinyl,6546
2007,Techno,CD,1719
2007,Techno,File,4088
2007,Techno,Vinyl,4610
2008,Ambient,CD,2870
2008,Ambient,File,3295
2008,Ambient,Vinyl,382
2008,House,CD,5565
2008,House,File,6288
2008,House,Vinyl,4809
2008,Techno,CD,1634
2008,Techno,File,6797
2008,Techno,Vinyl,4221
2009,Ambient,CD,2667
2009,Ambient,File,4214
2009,Ambient,Vinyl,525
2009,House,CD,5061
2009,House,File,8694
2009,House,Vinyl,4004
2009,Techno,CD,1460
2009,Techno,File,8274
2009,Techno,Vinyl,3691
2010,Ambient,CD,2376
2010,Ambient,File,5300
2010,Ambient,Vinyl,641
2010,House,CD,4222
2010,House,File,11117
2010,House,Vinyl,3442
2010,Techno,CD,1173
2010,Techno,File,9087
2010,Techno,Vinyl,2999
2011,Ambient,CD,2205
2011,Ambient,File,7455
2011,Ambient,Vinyl,892
2011,House,CD,3598
2011,House,File,12732
2011,House,Vinyl,3496
2011,Techno,CD,1139
2011,Techno,File,10562
2011,Techno,Vinyl,3109
2012,Ambient,CD,2221
2012,Ambient,File,8994
2012,Ambient,Vinyl,1083
2012,House,CD,3196
2012,House,File,13092
2012,House,Vinyl,4176
2012,Techno,CD,1107
2012,Techno,File,10802
2012,Techno,Vinyl,3325
2013,Ambient,CD,2133
2013,Ambient,File,9648
2013,Ambient,Vinyl,1234
2013,House,CD,2377
2013,House,File,11459
2013,House,Vinyl,4087
2013,Techno,CD,989
2013,Techno,File,11266
2013,Techno,Vinyl,4225
2014,Ambient,CD,2143
2014,Ambient,File,9667
2014,Ambient,Vinyl,1383
2014,House,CD,2095
2014,House,File,10451
2014,House,Vinyl,3859
2014,Techno,CD,894
2014,Techno,File,11414
2014,Techno,Vinyl,4478
2015,Ambient,CD,2094
2015,Ambient,File,10884
2015,Ambient,Vinyl,1691
2015,House,CD,1769
2015,House,File,11500
2015,House,Vinyl,3859
2015,Techno,CD,815
2015,Techno,File,11997
2015,Techno,Vinyl,4885
2016,Ambient,CD,2153
2016,Ambient,File,11783
2016,Ambient,Vinyl,2024
2016,House,CD,1423
2016,House,File,11847
2016,House,Vinyl,4160
2016,Techno,CD,775
2016,Techno,File,12541
2016,Techno,Vinyl,5302
2017,Ambient,CD,1995
2017,Ambient,File,11953
2017,Ambient,Vinyl,2346
2017,House,CD,1054
2017,House,File,12323
2017,House,Vinyl,4083
2017,Techno,CD,694
2017,Techno,File,15554
2017,Techno,Vinyl,5254
2018,Ambient,CD,1922
2018,Ambient,File,12495
2018,Ambient,Vinyl,2577
2018,House,CD,803
2018,House,File,12020
2018,House,Vinyl,3807
2018,Techno,CD,625
2018,Techno,File,15948
2018,Techno,Vinyl,5109
2019,Ambient,CD,1764
2019,Ambient,File,13346
2019,Ambient,Vinyl,2732
2019,House,CD,688
2019,House,File,11384
2019,House,Vinyl,3393
2019,Techno,CD,523
