year,style,format,distinct_releases,style_year_releases,share
1985,Ambient,CD,198,982,0.20162932790224034
1985,Ambient,Vinyl,784,982,0.7983706720977597
1985,House,Vinyl,143,143,1.0
1985,Techno,CD,1,32,0.03125
1985,Techno,Vinyl,31,32,0.96875
1986,Ambient,CD,318,1254,0.2535885167464115
1986,Ambient,Vinyl,936,1254,0.7464114832535885
1986,House,CD,10,880,0.011363636363636364
1986,House,Vinyl,870,880,0.9886363636363636
1986,Techno,CD,2,50,0.04
1986,Techno,Vinyl,48,50,0.96
1987,Ambient,CD,443,1268,0.34936908517350157
1987,Ambient,Vinyl,825,1268,0.6506309148264984
1987,House,CD,97,2543,0.03814392449862367
1987,House,Vinyl,2446,2543,0.9618560755013763
1987,Techno,CD,9,113,0.07964601769911504
1987,Techno,Vinyl,104,113,0.9203539823008849
1988,Ambient,CD,607,1343,0.45197319434102756
1988,Ambient,Vinyl,736,1343,0.5480268056589724
1988,House,CD,579,5476,0.10573411249086925
1988,House,Vinyl,4897,5476,0.8942658875091307
1988,Techno,CD,52,368,0.14130434782608695
1988,Techno,Vinyl,316,368,0.8586956521739131
1989,Ambient,CD,774,1295,0.5976833976833977
1989,Ambient,Vinyl,521,1295,0.4023166023166023
1989,House,CD,1395,8659,0.1611040535858644
1989,House,Vinyl,7265,8659,0.8390114331908997
1989,Techno,CD,130,913,0.14238773274917854
1989,Techno,Vinyl,783,913,0.8576122672508215
1990,Ambient,CD,922,1548,0.5956072351421189
1990,Ambient,Vinyl,626,1548,0.4043927648578811
1990,House,CD,2148,10839,0.19817326321616385
1990,House,Vinyl,8691,10839,0.8018267367838362
1990,Techno,CD,412,2580,0.15968992248062017
1990,Techno,Vinyl,2168,2580,0.8403100775193798
1991,Ambient,CD,1192,1808,0.6592920353982301
1991,Ambient,Vinyl,616,1808,0.3407079646017699
1991,House,CD,2902,11485,0.2526774053112756
1991,House,Vinyl,8583,11485,0.7473225946887244
1991,Techno,CD,1112,6057,0.18358923559517912
1991,Techno,Vinyl,4945,6057,0.8164107644048209
1992,Ambient,CD,1351,1831,0.7378481703986892
1992,Ambient,Vinyl,480,1831,0.2621518296013108
1992,House,CD,3384,12003,0.28192951762059487
1992,House,Vinyl,8619,12003,0.7180704823794052
1992,Techno,CD,2285,8795,0.259806708357021
1992,Techno,Vinyl,6510,8795,0.740193291642979
1993,Ambient,CD,1713,2381,0.7194456110877783
1993,Ambient,File,2,2381,0.0008399832003359933
1993,Ambient,Vinyl,666,2381,0.27971440571188577
1993,House,CD,4122,12758,0.32309139363536604
1993,House,File,1,12758,7.838219156607619e-05
1993,House,Vinyl,8635,12758,0.6768302241730679
1993,Techno,CD,2236,7069,0.3163106521431603
1993,Techno,File,5,7069,0.0007073136228603763
1993,Techno,Vinyl,4829,7069,0.6831234969585515
1994,Ambient,CD,2501,3353,0.7458991947509693
1994,Ambient,File,3,3353,0.000894721145243066
1994,Ambient,Vinyl,849,3353,0.25320608410378764
1994,House,CD,4967,13969,0.3555730546209464
